grant_number,in_cruz_list
2304691,True
2304844,True
2304933,False
2305330,True
2305370,True
2305476,True
2305592,True
2305598,False
2305599,False
2305600,True
2305728,False
2306150,True
2306176,True
2306216,True
2306259,False
2306262,True
2306263,True
2306265,True
2306658,True
2308517,True
2308531,True
2308532,True
2308600,True
2309255,True
2309307,True
2309308,True
2309309,False
2309310,True
2309311,True
2310470,False
2310556,True
2310557,True
2310558,True
2310698,True
2310990,True
2310991,True
2311210,True
2313609,True
2313849,True
2313869,False
2313936,False
2313979,True
2313981,False
2313994,False
2313996,True
2314061,True
2314075,True
2314089,True
2314092,True
2314101,True
2314144,False
2314179,True
2314229,True
2314238,True
2314239,True
2314254,True
2314260,False
2314307,True
2314433,True
2314434,True
2314435,True
2314519,True
2314653,True
2314693,False
2314850,True
2314892,True
2314893,True
2314894,True
2314915,True
2314916,True
2314917,True
2314918,True
2314980,True
2315023,True
2315024,True
2315027,False
2315029,False
2315041,True
2315042,False
2315043,True
2315095,True
2315124,False
2315148,True
2315178,True
2315277,True
2315400,True
2315401,True
2315402,True
2315456,True
2315480,True
2315868,True
2315869,True
2315875,True
2315876,True
2316154,True
2316852,True
2316853,True
2317076,True
2317250,True
2317283,True
2317284,True
2317569,True
2317570,True
2317571,True
2317572,True
2317573,True
2317588,True
2317713,True
2317714,True
2317747,True
2317780,True
2317832,False
2317971,False
2318247,True
2318257,True
2318258,True
2318259,True
2318260,True
2318261,True
2318293,True
2318338,True
2318357,True
2318513,True
2318841,False
2319512,True
2319639,True
2319810,False
2319989,False
2320742,True
2320884,True
2321219,True
2321243,True
2321390,True
2321391,True
2321633,False
2321649,False
2321914,False
2321946,True
2322026,False
2322329,True
2322496,True
2322705,False
2322915,False
2323037,True
2323131,True
2323794,False
2323795,False
2324616,True
2324657,True
2324696,True
2324987,True
2325090,False
2325183,False
2325476,True
2325593,True
2325683,False
2326134,True
2326588,False
2326704,True
2326811,True
2327257,True
2327314,True
2327319,True
2327488,True
2327579,True
2327593,False
2327594,False
2327599,False
2328610,True
2329394,True
2329420,True
2329425,False
2329538,True
2329570,True
2330332,True
2330886,True
2330910,True
2330922,True
2330923,True
2330924,True
2330963,False
2331010,False
2331066,True
2331116,True
2331195,True
2331216,False
2331217,False
2331287,True
